,sentences,WS
2001,沒有,['沒有']
2002,台學校認證了？你們民進黨認小智道歉了？民進黨道歉了笑死，小志跟EE有道歉嗎開始抓對手帶風向所以蔡EE什麼時候要道歉民進党已經認證抄襲也沒道9.24%：可惡，國家機笑死人，一堆塔綠班在腦羞我大完便了大便就不要挖掘糞出來臭別抄襲議題已過囉！換題吧是在臭EE嗎大便女力挺抄跑堅，還有資太噁了吧,"['台學校', '認證', '了', '？', '你們', '民進黨', '認', '小智', '道歉', '了', '？', '民進黨', '道歉', '了', '笑死', '，', '小志', '跟', 'EE', '有', '道歉', '嗎', '開始', '抓', '對手', '帶', '風', '向', '所以', '蔡EE', '什麼', '時候', '要', '道歉', '民進党', '已經', '認證', '抄襲', '也', '沒', '道', '9.24%', '：', '可惡', '，', '國家', '機笑', '死人', '，', '一', '堆', '塔綠班', '在', '腦羞', '我', '大完', '便', '了', '大便', '就', '不要', '挖掘', '糞出來', '臭別', '抄襲', '議題', '已', '過', '囉', '！', '換題', '吧', '是', '在', '臭', 'EE', '嗎', '大便', '女力', '挺抄', '跑堅', '，', '還', '有', '資', '太', '噁', '了', '吧']"
2003,說了那麼多，我只想問他，中國大陸鵬舔共商人好了啦,"['說', '了', '那麼多', '，', '我', '只', '想', '問', '他', '，', '中國', '大陸', '鵬舔', '共', '商人', '好了', '啦']"
2004,共啥洨綠能妳不能他不是還去參加南一中流水綠能,"['共', '啥', '洨綠', '能', '妳', '不能', '他', '不是', '還', '去', '參加', '南一中', '流水綠', '能']"
2005,假消息普龍共還不滾先罰300萬啦,"['假', '消息', '普龍', '共', '還', '不', '滾', '先', '罰', '300萬', '啦']"
2006,新竹都是高的廣告看板，壁小黨也有掛很多的有些做過新竹真的高看板爆多，在關高連廣播都有….有富爸爸選完還在抹,"['新竹', '都', '是', '高', '的', '廣告', '看板', '，', '壁小黨', '也', '有', '掛', '很多', '的', '有些', '做', '過', '新竹', '真的', '高', '看板', '爆', '多', '，', '在', '關高', '連', '廣播', '都', '有', '…', '.', '有', '富', '爸爸', '選完', '還', '在', '抹']"
2007,時中市長真性情,"['時中', '市長', '真', '性情']"
2008,加油好嗎我TM只用一成力！叫宏樹來Too,"['加油', '好', '嗎', '我', 'TM', '只', '用', '一成力', '！', '叫', '宏樹', '來', 'Too']"
2009,care,['care']
2010,強者雲集這才有戲唱可以合作就很好了,"['強者', '雲集', '這', '才', '有', '戲唱', '可以', '合作', '就', '很', '好', '了']"
2011,到現在市民就是要kmt,"['到', '現在', '市民', '就', '是', '要', 'kmt']"
2012,還不是投四個不同意原來是兩兆不夠？,"['還不是', '投', '四', '個', '不', '同意', '原來', '是', '兩兆', '不', '夠', '？']"
2013,笑一開始就沒有的東西不會壞一樓好誠實呼麻覺青快護駕妳奶大妳說得都對刑警會跟左右兩張圖差好多...好醜,"['笑', '一', '開始', '就', '沒有', '的', '東西', '不會', '壞', '一樓', '好', '誠實', '呼麻覺青', '快', '護駕', '妳', '奶', '大', '妳', '說', '得', '都', '對', '刑警', '會', '跟', '左右', '兩', '張', '圖', '差', '好多', '.', '.', '.', '好', '醜']"
2014,擋了中國分裝BNT對啊，擋復必泰BNT中國民進黨全黨先造謠復必泰B有擋承認了,"['擋', '了', '中國', '分裝', 'BNT', '對', '啊', '，', '擋復', '必泰', 'BNT', '中國', '民進黨', '全', '黨', '先', '造謠', '復必泰B', '有', '擋', '承認', '了']"
2015,綠能你不能該出征了,"['綠', '能', '你', '不能', '該', '出征', '了']"
2016,準備好了嗎應該喊「支持賴清德，票投484在偷臭蔡英文吃屎吧準備輸到脫褲子功德忍耐很久+1綠共標準,"['準備好', '了', '嗎', '應該', '喊', '「', '支持', '賴清德', '，', '票', '投', '484', '在', '偷臭', '蔡英文', '吃屎', '吧', '準備', '輸到', '脫', '褲子', '功德', '忍耐', '很', '久', '+1', '綠共', '標準']"
2017,記得不要投真的是這樣照台灣人保養手機電池的謹鬼島有鬼島的玩法,"['記得', '不要', '投', '真的', '是', '這樣', '照', '台灣人', '保養', '手機', '電池', '的', '謹鬼島', '有', '鬼島', '的', '玩法']"
2018,=是時空背景不同之術嗎怎麼蔡英文總統兼黨主席就副總統那來什麼權力,"['=', '是', '時空', '背景', '不同', '之', '術', '嗎', '怎麼', '蔡', '英文', '總統', '兼', '黨主席', '就', '副總統', '那', '來', '什麼', '權力']"
2019,這兩個推文也太紅了吧?,"['這', '兩', '個', '推文', '也', '太', '紅', '了', '吧', '?']"
2020,是多貴笑死,"['是', '多', '貴', '笑死']"
2021,被時力看出打假球下禮拜五就有心處理了連路邊野狗都知道黑道綠共下週五法案又再多一條了黨內黑道不除去,"['被', '時力', '看出', '打假球', '下', '禮拜五', '就', '有心', '處理', '了', '連', '路', '邊', '野狗', '都', '知道', '黑道', '綠共', '下', '週五', '法案', '又', '再', '多', '一', '條', '了', '黨', '內', '黑道', '不', '除去']"
2022,期待他們新不分區議員智障苗粉其實邏輯很簡單，要不要管苦無聯盟就佛地魔翻版啊.苗野狗已經很智障了，苗粉臉有夠腫，苗粉證明自己才雙標党的支持者,"['期待', '他們', '新', '不', '分區', '議員', '智障', '苗粉', '其實', '邏輯', '很', '簡單', '，', '要不要', '管', '苦', '無', '聯盟', '就', '佛地', '魔翻版', '啊', '.', '苗野狗', '已經', '很', '智障', '了', '，', '苗粉臉', '有夠', '腫', '，', '苗粉', '證明', '自己', '才', '雙', '標党', '的', '支持', '者']"
2023,還動注意!你各位啊好日子要來小心在路上被車撞或被槍打酸民真多來台灣測試高日本6倍的車誰想來當盤子擦脂抹粉史上最爛的院長是誰？根本沒人要來糞島誰想去,"['還', '動', '注意', '!', '你', '各', '位', '啊', '好', '日子', '要', '來', '小心', '在', '路', '上', '被', '車', '撞', '或', '被', '槍', '打', '酸民', '真', '多', '來', '台灣', '測試', '高', '日本', '6', '倍', '的', '車', '誰', '想', '來', '當', '盤子', '擦脂', '抹粉', '史', '上', '最', '爛', '的', '院長', '是', '誰', '？', '根本', '沒', '人', '要', '來', '糞島', '誰', '想', '去']"
2024,怎麼不說最好台南高雄屏東,"['怎麼', '不', '說', '最好', '台南', '高雄', '屏東']"
2025,2024繼蔣萬安勝選的最大功臣姍姍繼續敗到2024最大敗票機感謝助選喔萬安的12功臣之一寄生成功,"['2024', '繼', '蔣萬安', '勝選', '的', '最', '大', '功臣', '姍姍', '繼續', '敗到', '2024', '最', '大', '敗票機', '感謝', '助選', '喔萬安', '的', '12', '功臣', '之', '一', '寄生', '成功']"
2026,你會檢討???繼續做出(豢養)更多成績就讓這種不要臉的東西繼續房子蓋到一半師傅不能換人嫌輸不夠多喔除了灑幣還會做什麼?接下你還在位表示零檢討在那邊叫甚麼繼續大灑幣,"['你', '會', '檢討', '?', '?', '?', '繼續', '做出', '(', '豢養', ')', '更多', '成績', '就', '讓', '這', '種', '不要臉', '的', '東西', '繼續', '房子', '蓋到', '一半', '師傅', '不能', '換', '人嫌', '輸', '不', '夠', '多', '喔', '除了', '灑幣', '還', '會', '做', '什麼', '?', '接下', '你', '還', '在位', '表示', '零', '檢討', '在', '那邊', '叫', '甚麼', '繼續', '大灑幣']"
2027,死忠仔聽誰能比阿苗更愛鎖螺絲..唯一支持苗加入民進黨噓~~~~~~~~~~~讓我為您紅的喜氣博雅慌了特權違停巧芯,"['死忠仔', '聽', '誰', '能', '比', '阿苗', '更', '愛', '鎖', '螺絲', '.', '.', '唯一', '支持', '苗', '加入', '民進黨', '噓', '~~~~~~~~~~~', '讓', '我', '為', '您', '紅', '的', '喜氣', '博雅', '慌', '了', '特權', '違停', '巧芯']"
2028,自己跟黑道來然後國民黨直接跟黑道站一所以烙跑議員黑道撐腰。穩膿包穩了,"['自己', '跟', '黑道', '來', '然後', '國民黨', '直接', '跟', '黑道站', '一', '所以', '烙跑', '議員', '黑道', '撐腰', '。', '穩膿', '包穩', '了']"
2029,同路人你永遠只會恐嚇人民,"['同路人', '你', '永遠', '只', '會', '恐嚇', '人民']"
2030,不然房價狂漲是要gg有蓋,"['不然', '房價', '狂漲', '是', '要', 'gg', '有', '蓋']"
2031,有再講就準備抓會去關台北銀行被富邦小吃大就馬阿扁這麼粗飽,"['有', '再', '講', '就', '準備', '抓', '會', '去', '關', '台北', '銀行', '被', '富邦', '小吃', '大就', '馬阿扁', '這麼', '粗飽']"
2032,2國策顧問又不用選那天說高重點是修了還不影響綠共黨黑道很多都是找自己親戚出以這些標準,"['2', '國策', '顧問', '又', '不用', '選', '那', '天', '說', '高重點', '是', '修', '了', '還', '不', '影響', '綠共黨', '黑道', '很多', '都', '是', '找', '自己', '親戚', '出以', '這些', '標準']"
2033,八卦突然難道要挺遲刻魔也是啦,"['八卦', '突然', '難道', '要', '挺', '遲', '刻', '魔', '也', '是', '啦']"
2034,不爽高虹安,"['不', '爽', '高虹', '安']"
2035,不給訪問想辦光頭2024一定得換光頭下台在那叫什麼光頭大概是歷史上最久的行讚賞政府防疫的功勞,"['不', '給', '訪問', '想', '辦', '光頭', '2024', '一定', '得', '換', '光頭', '下台', '在', '那', '叫', '什麼', '光頭', '大概', '是', '歷史', '上', '最', '久', '的', '行', '讚賞', '政府', '防疫', '的', '功勞']"
2036,王如意多我一票李正皓在這裡被歸類成綠的就真的跳來跳去，事實是要你在那看到李是歸類綠的？笑死,"['王', '如意', '多', '我', '一', '票', '李正皓', '在', '這裡', '被', '歸類成', '綠', '的', '就', '真的', '跳來跳去', '，', '事實', '是', '要', '你', '在', '那', '看到', '李', '是', '歸類', '綠', '的', '？', '笑死']"
2037,真的爛死塔綠班：看我幹嘛,"['真的', '爛死', '塔綠班', '：', '看', '我', '幹嘛']"
2038,分享,['分享']
2039,全黨只會抹黑抹紅繼續搞,"['全', '黨', '只', '會', '抹黑', '抹紅', '繼續', '搞']"
2040,老套啦,"['老套', '啦']"
2041,絕對要關到死剛開始念就回家接任務的那以黨的邏輯台大會搞林，那綠共又要列為機密了論文弄丟、挺抄襲、封存三主辦、協辦、球證、旁證、好堅持，respect以前覺得彭p在無理取鬧,"['絕對', '要', '關', '到', '死', '剛', '開始', '念', '就', '回家', '接', '任務', '的', '那', '以', '黨', '的', '邏輯', '台大', '會', '搞', '林', '，', '那', '綠共', '又', '要', '列為', '機密', '了', '論文', '弄丟', '、', '挺', '抄襲', '、', '封存', '三', '主辦', '、', '協辦', '、', '球證', '、', '旁證', '、', '好', '堅持', '，', 'respect', '以前', '覺得', '彭', 'p', '在', '無理取鬧']"
2042,受訪也不用阿扁不是每個人都像你會唸扁扁484在臭一次高級酸2個,"['受', '訪', '也', '不用', '阿扁', '不是', '每', '個', '人', '都', '像', '你', '會', '唸', '扁扁', '484', '在', '臭', '一', '次', '高級', '酸', '2', '個']"
2043,來人啊幫叫抹黑造謠被抓到聽說都是綠民眾黨連網軍都比別人弱萎瘋哥,"['來人', '啊', '幫叫', '抹黑', '造謠', '被', '抓到', '聽說', '都', '是', '綠', '民眾黨', '連', '網軍', '都', '比', '別人', '弱萎', '瘋哥']"
2044,塔綠班覺不犯蔡EE那是下一代的事情監督在野,"['塔綠班', '覺', '不', '犯', '蔡EE', '那', '是', '下', '一', '代', '的', '事情', '監督', '在野']"
2045,還真她自己說各方勢力逼迫,"['還', '真', '她', '自己', '說', '各', '方', '勢力', '逼迫']"
2046,一問馬上有QR,"['一', '問', '馬上', '有', 'QR']"
2047,"旁還以為是對岸新聞蔡維尼=習英文=蔡包子北竹雙安,下架塔綠班E大大說了算^_^E大大好派簡余晏或王世堅才有希望真的黨主席最大又是徵召笑死","['旁', '還', '以為', '是', '對岸', '新聞', '蔡維尼', '=', '習', '英文', '=', '蔡包子', '北竹', '雙安', ',', '下架', '塔綠班', 'E', '大大', '說', '了', '算^_^E', '大大', '好', '派', '簡余晏', '或', '王世堅', '才', '有', '希望', '真的', '黨主席', '最', '大', '又', '是', '徵召', '笑死']"
2048,順應民意還被嘴,"['順應', '民意', '還', '被', '嘴']"
2049,反九二共識,"['反', '九二', '共識']"
2050,女焦糖你敢嘴?817加油猛喔,"['女', '焦糖', '你', '敢', '嘴', '?', '817', '加油', '猛', '喔']"
2051,但ECF整天只會意識形態，垃圾幹他媽你任內經濟依存度還當然是選假民主真獨裁的塔想選有當過兵的政黨，不想好了啦這招可恥但好用每看一次就噁心，抗中還是親中？中國鵬要不要出來說又在抗中飽台了~87會被親個屁啦，智障都知道統一每次民調台灣不想統一差不中國台灣鵬我紅共綠共都不要,"['但', 'ECF', '整', '天', '只', '會', '意識', '形態', '，', '垃圾幹', '他媽', '你', '任內', '經濟', '依存度', '還', '當然', '是', '選假', '民主', '真', '獨裁', '的', '塔想', '選有', '當', '過', '兵', '的', '政黨', '，', '不', '想', '好了', '啦', '這', '招', '可恥', '但', '好用', '每', '看', '一', '次', '就', '噁心', '，', '抗', '中', '還是', '親', '中', '？', '中國鵬', '要不要', '出來', '說', '又', '在', '抗', '中', '飽台', '了', '~87', '會', '被', '親', '個', '屁', '啦', '，', '智障', '都', '知道', '統一', '每', '次', '民調', '台灣', '不', '想', '統一', '差不', '中國', '台灣', '鵬', '我', '紅', '共', '綠共', '都', '不要']"
2052,別再以錢為人生目標,"['別', '再', '以', '錢', '為', '人生', '目標']"
2053,在想另一套話術繼有錯都是別人無能，EE只沒人負責，檢討個屁自己去改地方制度法，夕鶴看那些人就知道,"['在', '想', '另', '一', '套', '話術', '繼', '有', '錯', '都', '是', '別人', '無能', '，', 'EE', '只', '沒', '人', '負責', '，', '檢討', '個', '屁', '自己', '去', '改', '地方', '制度', '法', '，', '夕鶴', '看', '那些', '人', '就', '知道']"
2054,笑死,['笑死']
2055,身心祝早日康復一樓沒有錯啊XDDD靠杯,"['身心', '祝', '早日', '康復', '一樓', '沒有', '錯', '啊', 'XDDD', '靠杯']"
2056,哪次不給過綠能你不能推文要唸出來苗議員要監督北市公務員4X+苗一次搞全部公務員蚵粉真的喜歡比爛,"['哪', '次', '不', '給', '過', '綠', '能', '你', '不能', '推文', '要', '唸出來', '苗', '議員', '要', '監督', '北市', '公務員', '4X+', '苗', '一', '次', '搞', '全部', '公務員', '蚵粉', '真的', '喜歡', '比', '爛']"
2057,欺負弱勢,"['欺負', '弱勢']"
2058,你找來黃國昌,"['你', '找來', '黃國昌']"
2059,滿意度是評柯,"['滿意度', '是', '評', '柯']"
2060,we,['we']
2061,要辭職就辭總光頭早該下去了,"['要', '辭職', '就', '辭總', '光頭', '早', '該', '下去', '了']"
2062,打蘇聯我只知道法國和波蘭已經用跟日本一樣他們根本吃不下冬天最冷接近零下40度的想知道蘇聯之後如何贏德建我早就問過了按你的假設，蘇聯現在還會多唸書好嗎？看台灣新聞，凶狠的蘇聯自己解體,"['打', '蘇聯', '我', '只', '知道', '法國', '和', '波蘭', '已經', '用', '跟', '日本', '一樣', '他們', '根本', '吃', '不下', '冬天', '最', '冷', '接近', '零下', '40', '度', '的', '想', '知道', '蘇聯', '之後', '如何', '贏', '德建', '我', '早', '就', '問', '過', '了', '按', '你的', '假設', '，', '蘇聯', '現在', '還', '會', '多', '唸書', '好', '嗎', '？', '看', '台灣', '新聞', '，', '凶狠', '的', '蘇聯', '自己', '解體']"
2063,所以應該棄藍綠，保珊珊。互相傷害,"['所以', '應該', '棄', '藍綠', '，', '保珊珊', '。', '互相', '傷害']"
2064,不然你要投國印度????DPP現在不學調資料，以綠狗悲哀,"['不然', '你', '要', '投國', '印度', '?', '?', '?', '?', 'DPP', '現在', '不', '學', '調', '資料', '，', '以', '綠', '狗', '悲哀']"
2065,私底下大佬還在韓導人馬進駐台北囉,"['私底下', '大佬', '還', '在', '韓導', '人馬', '進駐', '台北', '囉']"
2066,摳摳加油智商正常的都知道那稿真是真的做得好還怕什麼獨不獨要改一下,"['摳摳', '加油', '智商', '正常', '的', '都', '知道', '那', '稿', '真是', '真的', '做', '得', '好', '還', '怕', '什麼', '獨', '不獨', '要', '改', '一下']"
2067,跟你拼一屆議員,"['跟', '你', '拼', '一', '屆', '議員']"
2068,嘻嘻叫什麼叫草包一個有反應記者就會繼續戳,"['嘻嘻', '叫', '什麼', '叫', '草包', '一', '個', '有', '反應', '記者', '就', '會', '繼續', '戳']"
2069,yo明明就是EADG入場曲好聽跟RKO,"['yo', '明明', '就', '是', 'EADG', '入場曲', '好聽', '跟', 'RKO']"
2070,一直演一直演都跪舔了，頭都壓低下去了問A答B,"['一直', '演', '一直', '演', '都', '跪舔', '了', '，', '頭', '都', '壓低', '下去', '了', '問', 'A', '答', 'B']"
2071,大太監微服在那叭什麼這就是傲慢的垃圾啊,"['大', '太監', '微服', '在', '那', '叭', '什麼', '這', '就', '是', '傲慢', '的', '垃圾', '啊']"
2072,道路設計太爛,"['道路', '設計', '太', '爛']"
2073,萬人響應,"['萬', '人', '響應']"
2074,背叛我們快樂水好，看來打茶包打對了，側早說,"['背叛', '我們', '快樂', '水好', '，', '看來', '打', '茶包', '打對', '了', '，', '側', '早', '說']"
2075,你怎麼不叫習近平不初選全都妳EE系的人,"['你', '怎麼', '不', '叫', '習近', '平不初選', '全', '都', '妳', 'EE', '系', '的', '人']"
2076,"都是非不分,""努力""二字是成功人的專是很努力啦","['都', '是非', '不', '分', ',', '""', '努力', '""', '二', '字', '是', '成功人', '的', '專', '是', '很', '努力', '啦']"
2077,這我說真的看到日再過幾次選舉，又開始內鬥提線傀儡罷了,"['這', '我', '說', '真的', '看到', '日', '再', '過', '幾', '次', '選舉', '，', '又', '開始', '內鬥', '提線', '傀儡', '罷了']"
2078,只能推了蘇就是棧戀權力阿,"['只', '能', '推', '了', '蘇', '就', '是', '棧戀', '權力', '阿']"
2079,這才是我認識的民進黨請繼原來是洪逸老師XDDD高調,"['這', '才', '是', '我', '認識', '的', '民進黨', '請繼', '原來', '是', '洪逸', '老師', 'XDDD', '高調']"
2080,阿北太認真了，公務員不吃下一任沒這麼操，當然開心一堆柯黑可悲，阿伯認真要阿伯太認真了國民白癡佔多數的悲哀看看推文一堆待退擺爛的,"['阿北', '太', '認真', '了', '，', '公務員', '不', '吃下', '一', '任', '沒', '這麼', '操', '，', '當然', '開心', '一', '堆', '柯黑', '可悲', '，', '阿伯', '認真', '要', '阿伯', '太', '認真', '了', '國民', '白癡', '佔', '多數', '的', '悲哀', '看看', '推文', '一', '堆', '待', '退擺爛', '的']"
2081,超少原來是要來挺土城安放鳥記衝阿~~~~,"['超少', '原來', '是', '要', '來', '挺', '土城', '安放', '鳥記', '衝', '阿~~~~']"
2082,鬼島馬的你不靠黑金再出來吠啦南投被黑進國民黨把持太久DPP沒黑金XDDD清廉？？？妳黑金全台灣人都知道不用整天跑選舉,"['鬼島馬', '的', '你', '不', '靠', '黑金', '再', '出來', '吠啦', '南投', '被', '黑進', '國民黨', '把持', '太', '久', 'DPP', '沒', '黑金', 'XDDD', '清廉', '？', '？', '？', '妳', '黑金', '全', '台灣人', '都', '知道', '不用', '整天', '跑', '選舉']"
2083,衝撞大將軍？反正你就說砲灰跟黑龍一樣都給你說就好叫你要有黨證再玩吼看吧，不殷實的鄉長,"['衝撞', '大', '將軍', '？', '反正', '你', '就', '說', '砲灰', '跟', '黑龍', '一樣', '都', '給', '你', '說', '就', '好', '叫', '你', '要', '有', '黨證', '再', '玩', '吼', '看', '吧', '，', '不', '殷實', '的', '鄉長']"
2084,兩個XX,"['兩', '個', 'XX']"
2085,懂？那就關啊,"['懂', '？', '那', '就', '關', '啊']"
2086,順便帶動膿包,"['順便', '帶動', '膿包']"
2087,看看時力還有輸不起在叫耶，可憐吶別人吃麵你在喊燒有什麼問題？除了柯還有誰會上？33不4%政黨,"['看看', '時力', '還', '有', '輸不起', '在', '叫', '耶', '，', '可憐', '吶', '別人', '吃', '麵', '你', '在', '喊', '燒', '有', '什麼', '問題', '？', '除了', '柯', '還', '有', '誰', '會', '上', '？', '33', '不4%', '政黨']"
2088,遊客全罰重金,"['遊客', '全', '罰', '重金']"
2089,很穩的工時12小時,"['很', '穩', '的', '工時', '12', '小時']"
2090,罰款算算成本說”最重”行政罰,"['罰款', '算算', '成本', '說”', '最', '重', '”', '行政', '罰']"
2091,沒加上時力有邱跟王這兩個滅加油民進黨現在的年輕人都可是不敢開放18歲的時力是路線錯誤，跟民眾黨努力少子化，年輕選票沒差啊？困守新竹只剩4%還在年輕人投票率就輸了只能說你想的太理想夢裡什麼都有議員從5個變14個,"['沒', '加上', '時力', '有', '邱', '跟', '王', '這', '兩', '個', '滅', '加油', '民進黨', '現在', '的', '年輕人', '都', '可是', '不', '敢', '開放', '18', '歲', '的', '時力', '是', '路線', '錯誤', '，', '跟', '民眾黨', '努力', '少子化', '，', '年輕', '選票', '沒', '差', '啊', '？', '困守', '新竹', '只', '剩', '4%', '還', '在', '年輕人', '投票率', '就', '輸', '了', '只', '能', '說', '你', '想', '的', '太', '理想', '夢', '裡', '什麼', '都', '有', '議員', '從', '5', '個', '變', '14', '個']"
2092,沒出過社會?剪下貼沒指印不給過真的越來越噁漱喂部？,"['沒', '出', '過', '社會', '?', '剪下', '貼', '沒', '指印', '不', '給', '過', '真的', '越來越', '噁漱', '喂部', '？']"
2093,不是啊,"['不是', '啊']"
2094,反串失辭之前先任命副市長給阿北蔡適應確定論文抄寫，怎麼他都還沒宣誓就職,"['反串', '失辭', '之前', '先', '任命', '副市長', '給', '阿北', '蔡', '適應', '確定', '論文', '抄寫', '，', '怎麼', '他', '都', '還', '沒', '宣誓', '就職']"
2095,太恐怖了苗粉素質苗議員小心被他綁起來八卦版難道是第一天性羞辱自己人輕輕放下,"['太', '恐怖', '了', '苗粉', '素質', '苗', '議員', '小心', '被', '他', '綁起來', '八卦版', '難道', '是', '第一', '天', '性', '羞辱', '自己人', '輕輕', '放下']"
2096,你神操作啊!,"['你', '神', '操作', '啊', '!']"
2097,關ig(暖男追蹤哇上班帶風向攻擊議員,"['關', 'ig', '(', '暖男', '追蹤', '哇', '上班', '帶', '風', '向', '攻擊', '議員']"
2098,你敢嘴自己的作業自己做沒錯...好懷念三級警戒自己還不是紅燈右轉比爛的很多,"['你', '敢', '嘴', '自己', '的', '作業', '自己', '做', '沒錯', '.', '.', '.', '好', '懷念', '三', '級', '警戒', '自己', '還不是', '紅燈', '右轉', '比', '爛', '的', '很多']"
2099,沒有邏輯的沒要選就可以亂來沒要選，可以撈，謝謝@dharma123,"['沒有', '邏輯', '的', '沒', '要', '選', '就', '可以', '亂來', '沒', '要', '選', '，', '可以', '撈', '，', '謝謝', '@dharma', '123']"
2100,長廷放外蔡總統真的不下令逮捕賴清求賴神心理陰影面積,"['長廷', '放外', '蔡', '總統', '真的', '不', '下令', '逮捕', '賴清求', '賴神', '心理', '陰影', '面積']"
2101,COC在八卦版是讓人覺得反胃的綠衛兵綠共就是抓這種學渣學店仔顯然你不知道文革是怎樣…黑暗騎士黎明升起有演！被綠色共產黨有啥好懷疑的垃圾媒體都可以隨便造謠沒阿通師也是安全下庄了綠衛兵會來噓真的滿扯的，那掛的有個台有趣的是這現象越來越嚴重綠共你以為是喊假的？你這篇說人文革不就一樣水聽黨話跟黨走，紅共綠共一塔綠班很多快刪文,"['COC', '在', '八卦版', '是', '讓', '人', '覺得', '反胃', '的', '綠衛兵', '綠共', '就', '是', '抓', '這', '種', '學渣學', '店仔', '顯然', '你', '不知道', '文革', '是', '怎樣', '…', '黑暗', '騎士', '黎明', '升起', '有', '演', '！', '被', '綠色', '共產黨', '有', '啥', '好', '懷疑', '的', '垃圾', '媒體', '都', '可以', '隨便', '造謠', '沒', '阿通師', '也', '是', '安全', '下庄', '了', '綠衛兵', '會', '來', '噓', '真的', '滿', '扯', '的', '，', '那', '掛', '的', '有', '個', '台', '有趣', '的', '是', '這', '現象', '越來越', '嚴重', '綠共', '你', '以為', '是', '喊', '假', '的', '？', '你', '這', '篇', '說', '人', '文革', '不', '就', '一樣', '水', '聽', '黨話', '跟', '黨', '走', '，', '紅', '共', '綠共', '一', '塔綠班', '很多', '快', '刪', '文']"
2102,你搞實名一開始就是智障....不要低估台灣人的貪心巴西也缺快篩跟疫苗但沒人到底市面上那些快篩都跑哪得你老母不爽就滾去歐美日澳,"['你', '搞', '實名', '一', '開始', '就', '是', '智障', '.', '.', '.', '.', '不要', '低估', '台灣人', '的', '貪心', '巴西', '也', '缺快', '篩跟', '疫苗', '但', '沒', '人', '到底', '市面', '上', '那些', '快', '篩', '都', '跑', '哪', '得', '你', '老母', '不', '爽', '就', '滾去', '歐', '美', '日', '澳']"
2103,怎麼不早點想綠白仔選輸團抱取暖開酸反觀母豬開一堆部會養狗市長好像是李四川？工務跟都發如果換掉,"['怎麼', '不', '早點', '想', '綠白仔', '選輸團', '抱取', '暖開酸', '反觀', '母豬', '開', '一', '堆', '部會', '養', '狗', '市長', '好像', '是', '李四川', '？', '工務', '跟', '都', '發', '如果', '換掉']"
2104,抗從來沒聽過這個東西...詐騙黨一條龍哪有互毆,"['抗', '從來', '沒', '聽', '過', '這', '個', '東西', '.', '.', '.', '詐騙黨', '一', '條', '龍', '哪', '有', '互毆']"
2105,酒駕不修,"['酒駕', '不', '修']"
2106,既然大家都中國人就不用分你們自己罵同黨賴清德傾中喔喔~你不矛盾都是別人矛鄭運鵬支持高虹安？笑死，一隻手指指別人，四別人只是用你的標準來審視笑死,"['既然', '大家', '都', '中國人', '就', '不用', '分', '你們', '自己', '罵', '同黨', '賴清德', '傾中', '喔', '喔', '~', '你', '不', '矛盾', '都', '是', '別人', '矛', '鄭運鵬', '支持', '高虹安', '？', '笑死', '，', '一', '隻', '手指指', '別人', '，', '四', '別人', '只是', '用', '你的', '標準', '來', '審視', '笑死']"
2107,把第一詐真男人，看得出垃圾柯黨就堅哥不喜歡NTR嗎車手譬喻很強欸終究還是塔綠班不要什麼亂七八糟的東西都王世堅就真的討厭柯文哲柯XDDDD.,"['把', '第一', '詐真', '男人', '，', '看', '得', '出', '垃圾', '柯黨', '就', '堅哥', '不', '喜歡', 'NTR', '嗎', '車手', '譬喻', '很', '強', '欸', '終究', '還是', '塔綠班', '不要', '什麼', '亂七八糟', '的', '東西都', '王世堅', '就', '真的', '討厭', '柯文哲柯', 'XDDDD', '.']"
2108,有啥好毫無反應,"['有', '啥', '好', '毫無', '反應']"
2109,蓋六年還沒蓋好,"['蓋', '六', '年', '還', '沒', '蓋好']"
2110,翻怎麼側翼水準都在比低的？雙標仔不意外阿終於有記者報導惹,"['翻', '怎麼', '側翼', '水準', '都', '在', '比', '低', '的', '？', '雙標仔', '不', '意外', '阿', '終於', '有', '記者', '報導', '惹']"
2111,變色鵬運鵬委屈了真,"['變色', '鵬運鵬', '委屈', '了', '真']"
2112,哪個國家領導人不對我怎麼想到了普丁心機好重喔太清醒了,"['哪', '個', '國家', '領導人', '不', '對', '我', '怎麼', '想到', '了', '普丁', '心機', '好', '重', '喔', '太', '清醒', '了']"
2113,給比例但不知道您今天兒,"['給', '比例', '但', '不知道', '您', '今天兒']"
2114,新的刑法10媒體版面新聞聲量又被搶走會怕就好,"['新', '的', '刑法', '10', '媒體', '版面', '新聞', '聲量', '又', '被', '搶走', '會', '怕', '就', '好']"
2115,可憐連高雄都能一度選輸的民進可憐賴神we,"['可憐', '連', '高雄', '都', '能', '一度', '選輸', '的', '民進', '可憐', '賴神', 'we']"
2116,如果是農,"['如果', '是', '農']"
